Key Word,Category,Color
SignPrefixFirst1,Cell_Variable (Cyan),7255282
SpeakType1,Cell_Variable (Cyan),7255282
Value1,Cell_Variable (Cyan),7255282
SecondValue1,Cell_Variable (Cyan),7255282
SingleSuffix1,Cell_Variable (Cyan),7255282
PluralSuffix1,Cell_Variable (Cyan),7255282
negativeSuffix1,Cell_Variable (Cyan),7255282
positiveSuffix1,Cell_Variable (Cyan),7255282
SignPrefixFirst1,Cell_Variable (Cyan),7255282
Suffix1,Cell_Variable (Cyan),7255282
Prefix2,Cell_Variable (Cyan),7255282
SinglePrefix2,Cell_Variable (Cyan),7255282
PluralPrefix2,Cell_Variable (Cyan),7255282
negativePrefix2,Cell_Variable (Cyan),7255282
positivePrefix2,Cell_Variable (Cyan),7255282
SignPrefixFirst2,Cell_Variable (Cyan),7255282
SpeakType2,Cell_Variable (Cyan),7255282
Value2,Cell_Variable (Cyan),7255282
SecondValue2,Cell_Variable (Cyan),7255282
SingleSuffix2,Cell_Variable (Cyan),7255282
PluralSuffix2,Cell_Variable (Cyan),7255282
negativeSuffix2,Cell_Variable (Cyan),7255282
positiveSuffix2,Cell_Variable (Cyan),7255282
SignPrefixFirst2,Cell_Variable (Cyan),7255282
Suffix2,Cell_Variable (Cyan),7255282
Prefix3,Cell_Variable (Cyan),7255282
SinglePrefix3,Cell_Variable (Cyan),7255282
PluralPrefix3,Cell_Variable (Cyan),7255282
negativePrefix3,Cell_Variable (Cyan),7255282
positivePrefix3,Cell_Variable (Cyan),7255282
SignPrefixFirst3,Cell_Variable (Cyan),7255282
SpeakType3,Cell_Variable (Cyan),7255282
Value3,Cell_Variable (Cyan),7255282
SecondValue3,Cell_Variable (Cyan),7255282
SingleSuffix3,Cell_Variable (Cyan),7255282
PluralSuffix3,Cell_Variable (Cyan),7255282
negativeSuffix3,Cell_Variable (Cyan),7255282
positiveSuffix3,Cell_Variable (Cyan),7255282
SignPrefixFirst3,Cell_Variable (Cyan),7255282
Suffix3,Cell_Variable (Cyan),7255282
Prefix4,Cell_Variable (Cyan),7255282
SinglePrefix4,Cell_Variable (Cyan),7255282
PluralPrefix4,Cell_Variable (Cyan),7255282
negativePrefix4,Cell_Variable (Cyan),7255282
positivePrefix4,Cell_Variable (Cyan),7255282
SignPrefixFirst4,Cell_Variable (Cyan),7255282
SpeakType4,Cell_Variable (Cyan),7255282
Value4,Cell_Variable (Cyan),7255282
SecondValue4,Cell_Variable (Cyan),7255282
SingleSuffix4,Cell_Variable (Cyan),7255282
PluralSuffix4,Cell_Variable (Cyan),7255282
negativeSuffix4,Cell_Variable (Cyan),7255282
positiveSuffix4,Cell_Variable (Cyan),7255282
SignPrefixFirst4,Cell_Variable (Cyan),7255282
Suffix4,Cell_Variable (Cyan),7255282
EventCDRType,Cell_Variable (Cyan),7255282
EventField1,Cell_Variable (Cyan),7255282
EventField2,Cell_Variable (Cyan),7255282
EventField3,Cell_Variable (Cyan),7255282
EventField4,Cell_Variable (Cyan),7255282
EventField5,Cell_Variable (Cyan),7255282
EventField6,Cell_Variable (Cyan),7255282
EventField7,Cell_Variable (Cyan),7255282
EventField8,Cell_Variable (Cyan),7255282
EventField9,Cell_Variable (Cyan),7255282
EventField10,Cell_Variable (Cyan),7255282
logEnabled,Cell_Variable (Cyan),7255282
logMessage,Cell_Variable (Cyan),7255282
logLevel,Cell_Variable (Cyan),7255282
logVariables,Cell_Variable (Cyan),7255282
externalFunction,Cell_Variable (Cyan),7255282
externalFunction2,Cell_Variable (Cyan),7255282
detectLongPound,Cell_Variable (Cyan),7255282
longPoundNextCell,Cell_Variable (Cyan),7255282
setReferalIdToReportId,Cell_Variable (Cyan),7255282
setHangupIdToReportId,Cell_Variable (Cyan),7255282
vsb,Cell_Variable (Cyan),7255282
ParamFileUsed,Cell_Variable (Cyan),7255282
