Key Word,Category,Color,Color_Name
out2HangupHoldOnAnswer,Cell_Variable,7255282,Cyan
out2HangupBridgeOnFailure,Cell_Variable,7255282,Cyan
out2HangupHoldOnFailure,Cell_Variable,7255282,Cyan
out2HangupAnswerCell,Cell_Variable,7255282,Cyan
out2HangupBusyCell,Cell_Variable,7255282,Cyan
out2HangupRnaCell,Cell_Variable,7255282,Cyan
out2HangupReorderCell,Cell_Variable,7255282,Cyan
out2HangupSitCell,Cell_Variable,7255282,Cyan
out2HangupDialErrorCell,Cell_Variable,7255282,Cyan
out2HangupAllTrunksBusyCell,Cell_Variable,7255282,Cyan
Dnis,Cell_Variable,7255282,Cyan
useDnis,Cell_Variable,7255282,Cyan
carrierId,Cell_Variable,7255282,Cyan
useCarrierId,Cell_Variable,7255282,Cyan
final,Cell_Variable,7255282,Cyan
cache,Cell_Variable,7255282,Cyan
throttleGroup,Cell_Variable,7255282,Cyan
cell1,Cell_Variable,7255282,Cyan
cell2,Cell_Variable,7255282,Cyan
cell3,Cell_Variable,7255282,Cyan
cell4,Cell_Variable,7255282,Cyan
cell5,Cell_Variable,7255282,Cyan
cell6,Cell_Variable,7255282,Cyan
cell7,Cell_Variable,7255282,Cyan
cell8,Cell_Variable,7255282,Cyan
cell9,Cell_Variable,7255282,Cyan
cell10,Cell_Variable,7255282,Cyan
cell11,Cell_Variable,7255282,Cyan
cell12,Cell_Variable,7255282,Cyan
cell13,Cell_Variable,7255282,Cyan
cell14,Cell_Variable,7255282,Cyan
cell15,Cell_Variable,7255282,Cyan
useRoutingThrottleGroup,Cell_Variable,7255282,Cyan
group1,Cell_Variable,7255282,Cyan
group2,Cell_Variable,7255282,Cyan
group3,Cell_Variable,7255282,Cyan
group4,Cell_Variable,7255282,Cyan
group5,Cell_Variable,7255282,Cyan
group6,Cell_Variable,7255282,Cyan
group7,Cell_Variable,7255282,Cyan
group8,Cell_Variable,7255282,Cyan
group9,Cell_Variable,7255282,Cyan
group10,Cell_Variable,7255282,Cyan
group11,Cell_Variable,7255282,Cyan
group12,Cell_Variable,7255282,Cyan
group13,Cell_Variable,7255282,Cyan
hold,Cell_Variable,7255282,Cyan
music,Cell_Variable,7255282,Cyan
listen,Cell_Variable,7255282,Cyan
rlt,Cell_Variable,7255282,Cyan
bridge,Cell_Variable,7255282,Cyan
conference,Cell_Variable,7255282,Cyan
timeout,Cell_Variable,7255282,Cyan
hangup,Cell_Variable,7255282,Cyan
conferenceFailureCell,Cell_Variable,7255282,Cyan
beepOnAddToConference,Cell_Variable,7255282,Cyan
beepOnRemoveFromConference,Cell_Variable,7255282,Cyan
useOutdialCallType,Cell_Variable,7255282,Cyan
useOutdialTransferType,Cell_Variable,7255282,Cyan
variable,Cell_Variable,7255282,Cyan
value1,Cell_Variable,7255282,Cyan
value2,Cell_Variable,7255282,Cyan
value3,Cell_Variable,7255282,Cyan
value4,Cell_Variable,7255282,Cyan
value5,Cell_Variable,7255282,Cyan
value6,Cell_Variable,7255282,Cyan
value7,Cell_Variable,7255282,Cyan
value8,Cell_Variable,7255282,Cyan
value9,Cell_Variable,7255282,Cyan
value10,Cell_Variable,7255282,Cyan
value11,Cell_Variable,7255282,Cyan
value12,Cell_Variable,7255282,Cyan
value13,Cell_Variable,7255282,Cyan
value14,Cell_Variable,7255282,Cyan
value15,Cell_Variable,7255282,Cyan
prefixDigits,Cell_Variable,7255282,Cyan
digits,Cell_Variable,7255282,Cyan
suffixDigits,Cell_Variable,7255282,Cyan
useMF,Cell_Variable,7255282,Cyan
playIncomingAni,Cell_Variable,7255282,Cyan
playIncomingDnis,Cell_Variable,7255282,Cyan
timeoutCell,Cell_Variable,7255282,Cyan
okCell,Cell_Variable,7255282,Cyan
failedCell,Cell_Variable,7255282,Cyan
queryFunction,Cell_Variable,7255282,Cyan
replyFunction,Cell_Variable,7255282,Cyan
hostNamequerySentCell,Cell_Variable,7255282,Cyan
hostName,Cell_Variable,7255282,Cyan
querySentCell,Cell_Variable,7255282,Cyan
queryFailedCell,Cell_Variable,7255282,Cyan
hostTransactionCell,Cell_Variable,7255282,Cyan
logOnlyIfNonZeroErrorCode,Cell_Variable,7255282,Cyan
replyWaitTime,Cell_Variable,7255282,Cyan
replyWaitTimeoutCell,Cell_Variable,7255282,Cyan
messageFunction,Cell_Variable,7255282,Cyan
operatorType,Cell_Variable,7255282,Cyan
customFunction,Cell_Variable,7255282,Cyan
promptInterval,Cell_Variable,7255282,Cyan
musicOnHold,Cell_Variable,7255282,Cyan
parseFunction,Cell_Variable,7255282,Cyan
requestCell,Cell_Variable,7255282,Cyan
abandonCell,Cell_Variable,7255282,Cyan
buildFunction,Cell_Variable,7255282,Cyan
alertString,Cell_Variable,7255282,Cyan
alertNumber,Cell_Variable,7255282,Cyan
matchAnyValue,Cell_Variable,7255282,Cyan
logOnlyIfLimitReached,Cell_Variable,7255282,Cyan
logOnlyIfValueMatched,Cell_Variable,7255282,Cyan
type1,Cell_Variable,7255282,Cyan
type2,Cell_Variable,7255282,Cyan
type3,Cell_Variable,7255282,Cyan
type4,Cell_Variable,7255282,Cyan
type5,Cell_Variable,7255282,Cyan
type6,Cell_Variable,7255282,Cyan
type7,Cell_Variable,7255282,Cyan
type8,Cell_Variable,7255282,Cyan
type9,Cell_Variable,7255282,Cyan
type10,Cell_Variable,7255282,Cyan
value1,Cell_Variable,7255282,Cyan
value2,Cell_Variable,7255282,Cyan
value3,Cell_Variable,7255282,Cyan
value4,Cell_Variable,7255282,Cyan
value5,Cell_Variable,7255282,Cyan
value6,Cell_Variable,7255282,Cyan
value7,Cell_Variable,7255282,Cyan
value8,Cell_Variable,7255282,Cyan
value9,Cell_Variable,7255282,Cyan
value10,Cell_Variable,7255282,Cyan
limit1,Cell_Variable,7255282,Cyan
limit2,Cell_Variable,7255282,Cyan
limit3,Cell_Variable,7255282,Cyan
limit4,Cell_Variable,7255282,Cyan
limit5,Cell_Variable,7255282,Cyan
limit6,Cell_Variable,7255282,Cyan
limit7,Cell_Variable,7255282,Cyan
limit8,Cell_Variable,7255282,Cyan
limit9,Cell_Variable,7255282,Cyan
limit10,Cell_Variable,7255282,Cyan
interval1,Cell_Variable,7255282,Cyan
interval2,Cell_Variable,7255282,Cyan
interval3,Cell_Variable,7255282,Cyan
interval4,Cell_Variable,7255282,Cyan
interval5,Cell_Variable,7255282,Cyan
interval6,Cell_Variable,7255282,Cyan
interval7,Cell_Variable,7255282,Cyan
interval8,Cell_Variable,7255282,Cyan
interval9,Cell_Variable,7255282,Cyan
interval10,Cell_Variable,7255282,Cyan
alertCode1,Cell_Variable,7255282,Cyan
alertCode2,Cell_Variable,7255282,Cyan
alertCode3,Cell_Variable,7255282,Cyan
alertCode4,Cell_Variable,7255282,Cyan
alertCode5,Cell_Variable,7255282,Cyan
alertCode6,Cell_Variable,7255282,Cyan
alertCode7,Cell_Variable,7255282,Cyan
alertCode8,Cell_Variable,7255282,Cyan
alertCode9,Cell_Variable,7255282,Cyan
alertCode10,Cell_Variable,7255282,Cyan
alertMessage1,Cell_Variable,7255282,Cyan
alertMessage2,Cell_Variable,7255282,Cyan
alertMessage3,Cell_Variable,7255282,Cyan
alertMessage4,Cell_Variable,7255282,Cyan
alertMessage5,Cell_Variable,7255282,Cyan
alertMessage6,Cell_Variable,7255282,Cyan
alertMessage7,Cell_Variable,7255282,Cyan
alertMessage8,Cell_Variable,7255282,Cyan
alertMessage9,Cell_Variable,7255282,Cyan
alertMessage10,Cell_Variable,7255282,Cyan
campInterval1,Cell_Variable,7255282,Cyan
campInterval2,Cell_Variable,7255282,Cyan
campInterval3,Cell_Variable,7255282,Cyan
campInterval4,Cell_Variable,7255282,Cyan
campInterval5,Cell_Variable,7255282,Cyan
campInterval6,Cell_Variable,7255282,Cyan
campInterval7,Cell_Variable,7255282,Cyan
campInterval8,Cell_Variable,7255282,Cyan
campInterval9,Cell_Variable,7255282,Cyan
campInterval10,Cell_Variable,7255282,Cyan
obsoleteInterval1,Cell_Variable,7255282,Cyan
obsoleteInterval2,Cell_Variable,7255282,Cyan
obsoleteInterval3,Cell_Variable,7255282,Cyan
obsoleteInterval4,Cell_Variable,7255282,Cyan
obsoleteInterval5,Cell_Variable,7255282,Cyan
obsoleteInterval6,Cell_Variable,7255282,Cyan
obsoleteInterval7,Cell_Variable,7255282,Cyan
obsoleteInterval8,Cell_Variable,7255282,Cyan
obsoleteInterval9,Cell_Variable,7255282,Cyan
obsoleteInterval10,Cell_Variable,7255282,Cyan
percentMinEvents1,Cell_Variable,7255282,Cyan
percentMinEvents2,Cell_Variable,7255282,Cyan
percentMinEvents3,Cell_Variable,7255282,Cyan
percentMinEvents4,Cell_Variable,7255282,Cyan
percentMinEvents5,Cell_Variable,7255282,Cyan
percentMinEvents6,Cell_Variable,7255282,Cyan
percentMinEvents7,Cell_Variable,7255282,Cyan
percentMinEvents8,Cell_Variable,7255282,Cyan
percentMinEvents9,Cell_Variable,7255282,Cyan
percentMinEvents10,Cell_Variable,7255282,Cyan
variable1,Cell_Variable,7255282,Cyan
variable2,Cell_Variable,7255282,Cyan
variable3,Cell_Variable,7255282,Cyan
variable4,Cell_Variable,7255282,Cyan
variableUsed1,Cell_Variable,7255282,Cyan
variableUsed2,Cell_Variable,7255282,Cyan
variableUsed3,Cell_Variable,7255282,Cyan
variableUsed4,Cell_Variable,7255282,Cyan
prefixPrompt,Cell_Variable,7255282,Cyan
suffixPrompt,Cell_Variable,7255282,Cyan
Prefix1,Cell_Variable,7255282,Cyan
SinglePrefix1,Cell_Variable,7255282,Cyan
PluralPrefix1,Cell_Variable,7255282,Cyan
negativePrefix1,Cell_Variable,7255282,Cyan
positivePrefix1,Cell_Variable,7255282,Cyan
SignPrefixFirst1,Cell_Variable,7255282,Cyan
SpeakType1,Cell_Variable,7255282,Cyan
Value1,Cell_Variable,7255282,Cyan
SecondValue1,Cell_Variable,7255282,Cyan
SingleSuffix1,Cell_Variable,7255282,Cyan
PluralSuffix1,Cell_Variable,7255282,Cyan
negativeSuffix1,Cell_Variable,7255282,Cyan
positiveSuffix1,Cell_Variable,7255282,Cyan
SignPrefixFirst1,Cell_Variable,7255282,Cyan
Suffix1,Cell_Variable,7255282,Cyan
Prefix2,Cell_Variable,7255282,Cyan
SinglePrefix2,Cell_Variable,7255282,Cyan
PluralPrefix2,Cell_Variable,7255282,Cyan
negativePrefix2,Cell_Variable,7255282,Cyan
positivePrefix2,Cell_Variable,7255282,Cyan
SignPrefixFirst2,Cell_Variable,7255282,Cyan
SpeakType2,Cell_Variable,7255282,Cyan
Value2,Cell_Variable,7255282,Cyan
SecondValue2,Cell_Variable,7255282,Cyan
SingleSuffix2,Cell_Variable,7255282,Cyan
PluralSuffix2,Cell_Variable,7255282,Cyan
negativeSuffix2,Cell_Variable,7255282,Cyan
positiveSuffix2,Cell_Variable,7255282,Cyan
SignPrefixFirst2,Cell_Variable,7255282,Cyan
Suffix2,Cell_Variable,7255282,Cyan
Prefix3,Cell_Variable,7255282,Cyan
SinglePrefix3,Cell_Variable,7255282,Cyan
PluralPrefix3,Cell_Variable,7255282,Cyan
negativePrefix3,Cell_Variable,7255282,Cyan
positivePrefix3,Cell_Variable,7255282,Cyan
SignPrefixFirst3,Cell_Variable,7255282,Cyan
SpeakType3,Cell_Variable,7255282,Cyan
Value3,Cell_Variable,7255282,Cyan
SecondValue3,Cell_Variable,7255282,Cyan
SingleSuffix3,Cell_Variable,7255282,Cyan
PluralSuffix3,Cell_Variable,7255282,Cyan
negativeSuffix3,Cell_Variable,7255282,Cyan
positiveSuffix3,Cell_Variable,7255282,Cyan
SignPrefixFirst3,Cell_Variable,7255282,Cyan
Suffix3,Cell_Variable,7255282,Cyan
Prefix4,Cell_Variable,7255282,Cyan
SinglePrefix4,Cell_Variable,7255282,Cyan
PluralPrefix4,Cell_Variable,7255282,Cyan
negativePrefix4,Cell_Variable,7255282,Cyan
positivePrefix4,Cell_Variable,7255282,Cyan
SignPrefixFirst4,Cell_Variable,7255282,Cyan
SpeakType4,Cell_Variable,7255282,Cyan
Value4,Cell_Variable,7255282,Cyan
SecondValue4,Cell_Variable,7255282,Cyan
SingleSuffix4,Cell_Variable,7255282,Cyan
PluralSuffix4,Cell_Variable,7255282,Cyan
negativeSuffix4,Cell_Variable,7255282,Cyan
positiveSuffix4,Cell_Variable,7255282,Cyan
SignPrefixFirst4,Cell_Variable,7255282,Cyan
Suffix4,Cell_Variable,7255282,Cyan
EventCDRType,Cell_Variable,7255282,Cyan
EventField1,Cell_Variable,7255282,Cyan
EventField2,Cell_Variable,7255282,Cyan
EventField3,Cell_Variable,7255282,Cyan
EventField4,Cell_Variable,7255282,Cyan
EventField5,Cell_Variable,7255282,Cyan
EventField6,Cell_Variable,7255282,Cyan
EventField7,Cell_Variable,7255282,Cyan
EventField8,Cell_Variable,7255282,Cyan
EventField9,Cell_Variable,7255282,Cyan
EventField10,Cell_Variable,7255282,Cyan
logEnabled,Cell_Variable,7255282,Cyan
logMessage,Cell_Variable,7255282,Cyan
logLevel,Cell_Variable,7255282,Cyan
logVariables,Cell_Variable,7255282,Cyan
externalFunction,Cell_Variable,7255282,Cyan
externalFunction2,Cell_Variable,7255282,Cyan
detectLongPound,Cell_Variable,7255282,Cyan
longPoundNextCell,Cell_Variable,7255282,Cyan
setReferalIdToReportId,Cell_Variable,7255282,Cyan
setHangupIdToReportId,Cell_Variable,7255282,Cyan
vsb,Cell_Variable,7255282,Cyan
ParamFileUsed,Cell_Variable,7255282,Cyan
